Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 28|28|President / Vice President|Write-In||0
City of Kenosha|Wards 28|28|United States Senator|DEM|Tammy Baldwin|164
City of Kenosha|Wards 28|28|United States Senator|REP|Eric Hovde|63
City of Kenosha|Wards 28|28|United States Senator|DTC|Phil Anderson|10
City of Kenosha|Wards 28|28|United States Senator|AFT|Thomas Leager|9
City of Kenosha|Wards 28|28|United States Senator|Write-In||0
City of Kenosha|Wards 28|28|Representative in Congress|DEM|Peter Barca|147
City of Kenosha|Wards 28|28|Representative in Congress|REP|Bryan Steil|83
City of Kenosha|Wards 28|28|Representative in Congress|GRN|Chester Todd, Jr.|13
City of Kenosha|Wards 28|28|Representative in Congress|Write-In||0
City of Kenosha|Wards 28|28|State Senator District 22|DEM|Robert W. Wirch|194
City of Kenosha|Wards 28|28|State Senator District 22|Write-In||5
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|DEM|Ben DeSmidt|157
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|REP|Brian Gonzales|76
City of Kenosha|Wards 28|28|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 28|28|District Attorney|DEM|Carli McNeill|152
City of Kenosha|Wards 28|28|District Attorney|REP|Xavier Solis|81
City of Kenosha|Wards 28|28|District Attorney|Write-In||0
City of Kenosha|Wards 28|28|County Clerk|DEM|Regi Waligora|188
City of Kenosha|Wards 28|28|County Clerk|Write-In||6
City of Kenosha|Wards 28|28|County Treasurer|DEM|Teri Jacobson|190
City of Kenosha|Wards 28|28|County Treasurer|Write-In||6
City of Kenosha|Wards 28|28|Register of Deeds|DEM|Jennifer Mack|184
City of Kenosha|Wards 28|28|Register of Deeds|Write-In||6
City of Kenosha|Wards 28|28|State Referendum|Yes||171
City of Kenosha|Wards 28|28|State Referendum|No||54
City of Kenosha|Wards 29|29|President / Vice President|DEM|Kamala D. Harris / Tim Walz|121
City of Kenosha|Wards 29|29|President / Vice President|REP|Donald J. Trump / JD Vance|41
City of Kenosha|Wards 29|29|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|2
City of Kenosha|Wards 29|29|President / Vice President|GRN|Jill Stein / Rudolph Ware|1
City of Kenosha|Wards 29|29|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|1
City of Kenosha|Wards 29|29|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 29|29|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 29|29|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 29|29|President / Vice President|Write-In||0
City of Kenosha|Wards 29|29|United States Senator|DEM|Tammy Baldwin|123
City of Kenosha|Wards 29|29|United States Senator|REP|Eric Hovde|29
City of Kenosha|Wards 29|29|United States Senator|DTC|Phil Anderson|7
City of Kenosha|Wards 29|29|United States Senator|AFT|Thomas Leager|6
City of Kenosha|Wards 29|29|United States Senator|Write-In||0
City of Kenosha|Wards 29|29|Representative in Congress|DEM|Peter Barca|114
City of Kenosha|Wards 29|29|Representative in Congress|REP|Bryan Steil|46
City of Kenosha|Wards 29|29|Representative in Congress|GRN|Chester Todd, Jr.|5
